Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Template Suffix
listing-boost-survey-photography-service,,,,,,,Property Value,£300k - £400k Value,Location,Scotland,,0,,continue,manual,925.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£400k - £500k Value,Location,England,,0,,continue,manual,787.50,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£400k - £500k Value,Location,Scotland,,0,,continue,manual,1025.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£500k - £600k Value,Location,England,,0,,continue,manual,825.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£500k - £600k Value,Location,Scotland,,0,,continue,manual,1100.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£600k - £700k Value,Location,England,,0,,continue,manual,862.50,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£600k - £700k Value,Location,Scotland,,0,,continue,manual,1210.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£700k - £800k Value,Location,England,,0,,continue,manual,937.50,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£700k - £800k Value,Location,Scotland,,0,,continue,manual,1310.00,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£800k - £900k Value,Location,England,,0,,continue,manual,1012.50,,FALSE,TRUE,,,,
listing-boost-survey-photography-service,,,,,,,Property Value,£800k - £900k Value,Location,Scotland,,0,,continue,manual,1400.00,,FALSE,TRUE,,,,
survey-photography-service,RICS Level 2 Survey + Professional Photography Service,"<p><strong>Included In Service</strong></p>
<p>Photography:</p>
<ul>
<li>Professional Photographer Schedule &amp; Visit</li>
<li>Photos Edited &amp; Resized for Property Portals</li>
<li>3D Rendered Walkthroughs powered by Matterport</li>
<li>Walkthrough Smartphone Video</li>
<li>Property Floorplans</li>
</ul>
<p><span>Survey:</span></p>
<ul>
<li>RICS Level 2 Survey Visit</li>
<li>Full Property Valuation</li>
<li>EPC Rating (Scotland only)</li>
</ul>
<p>--</p>
<p><span>Process for RICS Level 2 Survey:</span></p>
<ul>
<li><span>Visual inspection of all accessible areas (inside &amp; outside)</span></li>
<li><span>Assessment of building condition with colour-coded ratings</span></li>
<li><span>Identification of defects, damp, subsidence, and structural concerns</span></li>
<li><span>Evaluation of fittings, services, and grounds (non-intrusive)</span></li>
<li><span>Advice on repair priorities and ongoing maintenance</span></li>
<li><span>Estimated market valuation and reinstatement cost</span></li>
</ul>
<p>Selling your investment property with a Survey increases your chance of a sale being agreed by over 30% and almost doubles your completion rate as buyers have much more confidence in the purchase especially when making an investment decision.</p>
<p>The service is completely hands off and Let Property will schedule the survey and photography at the same time with 1 hours of access to cause as little disruption to your tenant as possible.</p>",Buy Property Services,Service,,TRUE,Property Value,Up to £100k Value,Location,England,,0,,continue,manual,487.50,,FALSE,TRUE,,,,service
survey-photography-service,,,,,,,Property Value,Up to £100k Value,Location,Scotland,,0,,continue,manual,500.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£100k - £150k Value,Location,England,,0,,continue,manual,506.25,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£100k - £150k Value,Location,Scotland,,0,,continue,manual,575.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£150k - £200k Value,Location,England,,0,,continue,manual,525.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£150k - £200k Value,Location,Scotland,,0,,continue,manual,575.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£200k - £300k Value,Location,England,,0,,continue,manual,562.50,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£200k - £300k Value,Location,Scotland,,0,,continue,manual,675.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£300k - £400k Value,Location,England,,0,,continue,manual,600.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£300k - £400k Value,Location,Scotland,,0,,continue,manual,775.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£400k - £500k Value,Location,England,,0,,continue,manual,637.50,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£400k - £500k Value,Location,Scotland,,0,,continue,manual,875.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£500k - £600k Value,Location,England,,0,,continue,manual,675.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£500k - £600k Value,Location,Scotland,,0,,continue,manual,950.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£600k - £700k Value,Location,England,,0,,continue,manual,712.50,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£600k - £700k Value,Location,Scotland,,0,,continue,manual,1060.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£700k - £800k Value,Location,England,,0,,continue,manual,787.50,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£700k - £800k Value,Location,Scotland,,0,,continue,manual,1160.00,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£800k - £900k Value,Location,England,,0,,continue,manual,862.50,,FALSE,TRUE,,,,
survey-photography-service,,,,,,,Property Value,£800k - £900k Value,Location,Scotland,,0,,continue,manual,1250.00,,FALSE,TRUE,,,,
photography-service,Professional Photography Service,"<p><strong>Included In Service</strong></p>
<p>Photography:</p>
<ul>
<li>Professional Photographer Schedule &amp; Visit</li>
<li>Photos Edited &amp; Resized for Property Portals</li>
<li>3D Rendered Walkthroughs powered by Matterport</li>
<li>Walkthrough Smartphone Video</li>
<li>Property Floorplans</li>
</ul>",Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,150.00,,FALSE,TRUE,,,,service
outlays,Outlays,<p>Outlays for auction pack.</p>,Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,380.00,,FALSE,TRUE,,,,service
auction-tenanted-property-pre-sale-legal-pack,Auction Tenanted Property Pre-Sale Legal Pack,"<p data-start=""292"" data-end=""702"">Purchasing an <strong data-start=""306"" data-end=""328"">Auction Legal Pack</strong> is an essential step for any seller looking to achieve a smooth, confident, and successful sale at auction. The pack is professionally prepared to compile all legal documents, searches, and disclosures required by buyers before bidding. Providing this information upfront not only protects you as the seller, but also maximises buyer interest and encourages strong bidding.</p>
<h3 data-start=""704"" data-end=""748""><strong data-start=""708"" data-end=""748"">What the Auction Legal Pack Includes</strong></h3>
<ul data-start=""749"" data-end=""1289"">
<li data-start=""749"" data-end=""846"">
<p data-start=""751"" data-end=""846""><strong data-start=""751"" data-end=""779"">Official Title Documents</strong> confirming ownership and any rights, covenants, or restrictions.</p>
</li>
<li data-start=""847"" data-end=""933"">
<p data-start=""849"" data-end=""933""><strong data-start=""849"" data-end=""861"">Searches</strong> such as Local Authority, Drainage &amp; Water, and Environmental reports.</p>
</li>
<li data-start=""934"" data-end=""1020"">
<p data-start=""936"" data-end=""1020""><strong data-start=""936"" data-end=""966"">Special Conditions of Sale</strong> tailored to your property and your preferred terms.</p>
</li>
<li data-start=""1021"" data-end=""1104"">
<p data-start=""1023"" data-end=""1104""><strong data-start=""1023"" data-end=""1082"">Property Information Forms &amp; Fixtures and Fittings List</strong> (where applicable).</p>
</li>
<li data-start=""1105"" data-end=""1154"">
<p data-start=""1107"" data-end=""1154""><strong data-start=""1107"" data-end=""1126"">Lease Documents</strong> for leasehold properties.</p>
</li>
<li data-start=""1155"" data-end=""1222"">
<p data-start=""1157"" data-end=""1222""><strong data-start=""1157"" data-end=""1206"">Planning and Building Regulation Certificates</strong>, if relevant.</p>
</li>
<li data-start=""1223"" data-end=""1289"">
<p data-start=""1225"" data-end=""1289"">Any <strong data-start=""1229"" data-end=""1253"">additional documents</strong> your solicitor considers necessary.</p>
</li>
</ul>
<h3 data-start=""1291"" data-end=""1345""><strong data-start=""1295"" data-end=""1345"">Why Sellers Benefit from an Auction Legal Pack</strong></h3>
<ul data-start=""1346"" data-end=""2331"">
<li data-start=""1346"" data-end=""1510"">
<p data-start=""1348"" data-end=""1510""><strong data-start=""1348"" data-end=""1378"">Increases Buyer Confidence</strong><br data-start=""1378"" data-end=""1381"">Providing a full set of legal documents upfront gives bidders the certainty they need to commit to strong, competitive bidding.</p>
</li>
<li data-start=""1512"" data-end=""1675"">
<p data-start=""1514"" data-end=""1675""><strong data-start=""1514"" data-end=""1539"">Faster, Smoother Sale</strong><br data-start=""1539"" data-end=""1542"">Because buyers complete due diligence before the auction, there is far less risk of delays or complications after the hammer falls.</p>
</li>
<li data-start=""1677"" data-end=""1854"">
<p data-start=""1679"" data-end=""1854""><strong data-start=""1679"" data-end=""1708"">Reduces Fall-Through Risk</strong><br data-start=""1708"" data-end=""1711"">Serious buyers review the pack in advance, so only committed bidders take part — dramatically lowering the chance of post-auction withdrawal.</p>
</li>
<li data-start=""1856"" data-end=""2034"">
<p data-start=""1858"" data-end=""2034""><strong data-start=""1858"" data-end=""1895"">Strengthens Your Final Sale Price</strong><br data-start=""1895"" data-end=""1898"">Confident buyers bid higher. A clear, complete legal pack creates a competitive environment that often drives up the final sale price.</p>
</li>
<li data-start=""2036"" data-end=""2192"">
<p data-start=""2038"" data-end=""2192""><strong data-start=""2038"" data-end=""2071"">Ensures Full Legal Compliance</strong><br data-start=""2071"" data-end=""2074"">You meet all auction requirements by providing the necessary documents upfront, protecting you from future disputes.</p>
</li>
<li data-start=""2194"" data-end=""2331"">
<p data-start=""2196"" data-end=""2331""><strong data-start=""2196"" data-end=""2223"">Saves You Time &amp; Stress</strong><br data-start=""2223"" data-end=""2226"">Early preparation of the pack means fewer last-minute issues and a smoother overall selling experience.</p>
</li>
</ul>",Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,250.00,,FALSE,TRUE,,,,service
tenancy-agreement-digital-signature,Tenancy Agreement + Digital Signature,"<div class=""de elHeadlineWrapper ui-droppable de-editable"" id=""tmp_subheadline-38478"" data-de-type=""headline"" data-de-editing=""false"" data-title=""sub-headline"" data-ce=""true"" data-trigger=""none"" data-animate=""fade"" data-delay=""500"" data-gramm=""false"" aria-disabled=""false"" data-google-font=""Source+Sans+Pro"">
<div class=""ne elHeadline hsSize2 elMargin0 elBGStyle0 hsTextShadow0 lh2"" data-bold=""inherit"" data-gramm=""false"">
<div>When you order we'll create a fully compliant tenancy agreement and send it out for a digital signature between you and your tenant.</div>
<div><br></div>
<div>Tenancy agreements are available for both Scottish and English tenants. Once you make the payment via Credit Card we will send the tenancy agreement via an online digital signature:</div>
<div><br></div>
<div>Step 1 - Once you have made the payment we will send you a form to ask for some basic details in order for us to create the tenancy agreement. </div>
<div>Step 2 - The tenancy agreement will then be sent to your email for a digital signature by yourself as the landlord.</div>
<div>Step 3 - Only once you have signed and agreed to the tenancy agreement will it be sent for digital signature to your tenant.</div>
<div>Step 4 - You will receive a copy of the tenancy agreement and we will have it on our system to process your property listing too.</div>
<div><br></div>
<div>A valid tenancy agreement is required by law and is required in order to list your property for sale through the Let Property Investment Property Marketplace.</div>
<div><br></div>
<div>If you have multiple tenants on the one tenancy agreement then you only need to buy 1 tenancy agreement from us. If you have multiple tenants on separate agreements, then please purchase multiple agreements using the quantity selector on the checkout page.</div>
</div>
</div>",Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,100.00,,FALSE,TRUE,,,,service
upgraded-featured-listings-boost-on-rightmove-zoopla-onthemarket,"Upgraded Premium Listing Boost On Rightmove, Zoopla & OnTheMarket","<p data-start=""1006"" data-end=""1224"">Unlock the highest-impact marketing upgrade available.</p>
<p data-start=""1006"" data-end=""1224""><strong data-start=""1067"" data-end=""1103"">Upgraded Premium Listings Boost</strong> places your property in a more prominent position on Rightmove, Zoopla and OnTheMarket — delivering:</p>
<ul data-start=""1226"" data-end=""1349"">
<li data-start=""1226"" data-end=""1251"">
<p data-start=""1228"" data-end=""1251""><meta charset=""utf-8"">A “Premium Listing” is an enhanced advert upgrade (vs. the standard listing) that makes your property more prominent in search results. <span class="""" data-state=""closed""><span class=""ms-1 inline-flex max-w-full items-center relative top-[-0.094rem] animate-[show_150ms_ease-in]"" data-testid=""webpage-citation-pill""><a href=""https://customerfaq.rightmove.co.uk/support/solutions/articles/7000056783-what-is-a-premium-listing-?utm_source=chatgpt.com"" rel=""noopener"" alt=""https://customerfaq.rightmove.co.uk/support/solutions/articles/7000056783-what-is-a-premium-listing-?utm_source=chatgpt.com"" class=""flex h-4.5 overflow-hidden rounded-xl px-2 text-[9px] font-medium transition-colors duration-150 ease-in-out text-token-text-secondary! bg-[#F4F4F4]! dark:bg-[#303030]!"" target=""_blank""><span class=""relative start-0 bottom-0 flex h-full w-full items-center""><span class=""flex h-4 w-full items-center justify-between""><span class=""max-w-[15ch] grow truncate overflow-hidden text-center""></span></span></span></a></span></span></p>
</li>
<li data-start=""1252"" data-end=""1279"">
<p data-start=""1254"" data-end=""1279"">Up to 10x more exposure.</p>
</li>
<li data-start=""1280"" data-end=""1308"">
<p data-start=""1282"" data-end=""1308"">Increased enquiry volume.</p>
</li>
<li data-start=""1309"" data-end=""1349"">
<p data-start=""1311"" data-end=""1349"">Stronger perceived value and urgency from prospective investors.</p>
</li>
</ul>
<p data-start=""1351"" data-end=""1421"">Perfect for sellers who want faster traction and maximum market reach.</p>
<p data-start=""1351"" data-end=""1421"">This listing Boost applies for all of the following platforms:</p>
<ul>
<li data-start=""1351"" data-end=""1421"">Rightmove.co.uk (lasts 6 months)</li>
<li data-start=""1351"" data-end=""1421"">Zoopla.co.uk (lasts 12 months)</li>
<li data-start=""1351"" data-end=""1421"">OnTheMarket.co.uk (lasts 12 months)</li>
</ul>
<p data-start=""1351"" data-end=""1421"">We list your property for free through all of these portals but this is an additional 3rd party service that you can add on in order to achieve a faster sale as your listing is better placed with relevant search terms.</p>",Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,195.00,,FALSE,TRUE,,,,service
property-title,Property Title,<p>We will request your property title from HMRC and verify it against your ID. This is required in order to list a property in the UK and prove that you are the owner of the property.</p>,Buy Property Services,Service,,TRUE,Title,Default Title,,,,0,,continue,manual,15.00,,FALSE,TRUE,,,,service
